id_materias,nome,creditos,descricao
MCZA036-17,Análise de Algoritmos II,4,"A estratégia gulosa. Matroides e fundamentos teóricos da estratégia gulosa. Árvore geradora mínima, código de Huffman, Fórmulas de Horn. Métodos geométricos elementares e interseção geométrica. Problemas do Fecho convexo e dos pares de pontos mais próximos. Problemas de Otimização e Algoritmos aproximativos. Algoritmos aproximativos para Mochila, Cobertura, Caixeiro Viajante. Paradigma quântico, qubits, superposição e medida. Algoritmo de fatoração de Shor e Algoritmo de busca de Grover."
NHT3067-15,Análise de Fourier e Aplicações,4,"Séries de Fourier, integração, diferenciação. Representação de funções por séries de Fourier e o fenômeno de Gibbs. Aplicações de séries de Fourier em problemas de contorno: equações do calor, de Laplace, de cordas e de membranas. Transformadas de Fourier, inversão, derivação e teorema de convolução. Função Delta de Dirac. Aplicações em problemas de contorno e na mecânica quântica. Transformadas de Laplace, inversão e aplicações."
MCZA001-13,Análise de Projetos,2,Introdução à Análise de Sistemas. Metodologia de Desenvolvimento Orientada a Objetos. Aspectos de Arquitetura de Software.
ESZG001-17,Análise de Redes de Transporte e Distribuição,4,"Conceituação; grafos, redes e modelos de rede; modelos de problemas de transporte e atribuição; máximo fluxo em redes; mínimo custo do fluxo em rede; otimização do transporte em redes; aplicação com uso de recurso computacional; técnicas heurísticas de busca."
MCZB002-13,Análise de Regressão,4,Regressão linear simples. Regressão linear múltipla. Métodos de diagnóstico. Métodos de seleção de variáveis. Modelos lineares generalizados.
ESZC001-17,Análise de Séries Temporais - Tópicos Especiais,4,"Modelos  multivariados estacionários: modelos vetoriais auto-regressivos (VAR), função impulso-resposta e causalidade de Granger. Cointegração: modelo vetorial de correção de erros (VECM) e teste de cointegração de Johansen. Introdução às séries temporais no domínio da frequência. A análise espectral clássica: conceitos e definições da análise de Fourier. Função de densidade espectral. Representações espectrais. Estimadores espectrais e estimadores espectrais suavizados. Testes para periodicidades. Introdução à análise de processos estocásticos integrados fracionariamente: conceitos e definições. Modelo auto-regressivo fracionariamente integrado e de médias móveis (ARFIMA). Estimadores do parâmetro de integração fracionária nos domínios do tempo e da frequência. Análise de cointegração fracionária em séries temporais: conceitos, definições e testes."
ESTA005-17,Análise de Sistemas Dinâmicos Lineares,3,Apresentação de sistemas dinâmicos lineares multivariáveis; descrição por equações de estado; extração dos autovalores e autovetores; matriz de transição de estados; estudo de estabilidade local e global; critérios de estabilidade de Lyapunov; linearização de sistemas dinâmicos não-lineares observabilidade; controlabilidade.
ESTU024-17,Análise de Sistemas e Modelagem Ambiental,3,"Introdução à Teoria Geral de Sistemas. Tipos de modelos. Métodos de validação e avaliação de modelos. Modelagem de sistemas ambientais: Conceituação, desenvolvimento e aplicação. Programação Linear. Interfaces de utilização e aplicações práticas de modelos ambientais. Modelos de simulação, previsão ou projeção, aplicados a casos de cunho ambiental. Estudos de problemas ambientais a partir da modelagem de sistemas."
ESZU027-17,Análise e Concepção Estrutural para a Engenharia,4,Análise de concepção estrutural para engenharia; Sistemas estruturais habitacionais; sistemas de fundações; avaliação da segurança das habitações em áreas de risco; interação solo-estrutura; técnicas de vistoria de edificações em áreas de risco; critérios para interdição e liberação de edificações afetadas por riscos estruturais; estratégias de intervenção e de monitoramento; estratégias preventivas; diagnóstico de estruturas afetadas por problemas ambientais em áreas de risco; estratégias e soluções para construção de edificações em áreas de interesse ambiental. Estudo de caso.
ESTB029-17,Análise e Controle de Sistemas Mecânicos,4,"Introdução a sistemas de controle em malha fechada em tempo contínuo e discreto. Resposta degrau e Impulso (por Laplace). Espaço de estados. Matriz de transição (propriedades, matriz de convolação, função de transferência). Controbabilidade e observabilidade (definição e matrizes). Projeto de controladores por método de alocação de polos e controle linear quadrático. Projeto por função de transferência (On/OFF e PID). Observadores de estado. Introdução ao controle discreto."
ESZC018-17,Análise Econômica de Projetos,4,"A diferença entre a análise econômica e financeira de projetos e programas. Análise de viabilidade econômico-financeira para empresas privadas, agências governamentais, bancos privados e bancos de fomento. Técnicas básicas para a análise de projetos e programas. A influência da estrutura de financiamento sobre a viabilidade do projeto. Falhas de mercado e viabilidade de projetos, programas e políticas. Análise de eficiência e equidade nos estudos de viabilidade."
ESTE037-17,Análise Econômica de Projetos Energéticos,4,Métodos de análise de viabilidade de investimentos aplicados a projetos energéticos. Alternativas de investimento e tomada de decisão. Decisões sob incertezas. Elaboração de cenários. Riscos no mercado de energia. Análise econômica e de mercado.
ESZE075-17,Análise Estática em Sistemas Elétricos de Potência,4,Esta disciplina aborda a modelagem dos componentes que envolvem sistemas elétricos de potência em regime permanente. Fluxo de potência para redes elétricas: fluxo de potência DC; fluxo de potência AC; fluxo de potência para sistemas de distribuição. Métodos de solução. Ajustes e controles. Elos em corrente contínua.
ESZS016-17,Análise Experimental de Estruturas,4,"Objetivos da análise experimental. Introdução à análise dimensional e de incertezas. Dispositivos para medições de forças, deslocamentos e deformações. Extensometros, transdutores de força e de pressão, sistemas de aquisição de dados. Procedimentos de ensaios. Interpretação de resultados. Noções de medição de deformações com fibra ótica. Acelerometria e tratamento de sinais. Estudos de casos - Exemplos de aplicação em laboratórios."
MCZB003-17,Análise Multivariada,4,Gráficos multivariados. Regressão multivariada. Componente principal. Análise fatorial. Discriminação e classificação. Análise de agrupamentos. Escalonamento multidimensional. Correlação canônica. Análise de correspondência. Análise de variância multivariada.
MCTD024-18,Análise na Educação Básica,2,"Funções reais de variável real. Continuidade, derivação e integração de funções reais de variável real. Aspectos cognitivos e didático-pedagógicos da formação do conceito de função. Sistematização do conhecimento matemático orientada para a prática pedagógica na educação escolar básica."
MCTB004-17,Análise no Rn I,4,"Topologia do espaço Euclidiano n-dimensional. Continuidade de funções reais de n variáveis reais. Diferenciabilidade de funções reais de n variáveis reais: o Teorema de Schwarz, a fórmula de Taylor, máximos e mínimos e funções convexas. Funções Implícitas: função implícita, hiper-superfícies e multiplicadores de Lagrange. Aplicações diferenciáveis: a derivada como transformação linear, várias funções implícitas e o Teorema da Aplicação Inversa."
MCZB004-18,Análise no Rn II,4,"Integrais múltiplas: definição de integral, conjuntos de medida nula, condição de integrabilidade (Teorema de Lebesgue), conjuntos J-mensuráveis. Integral como limite de somas de Riemann. Mudança de variáveis. Formas diferenciais. Integrais de superfícies. Teorema de Stokes."
MCZB005-17,Análise Numérica,4,"Resolução de sistemas lineares. Métodos diretos: Eliminação de Gauss, Decomposição LU, Decomposição de Cholewski. Análise de perturbação (condicionamento). Métodos iterativos: Métodos de Jacobi e Gauss-Seidel. Método dos gradientes conjugados. Aproximação por mínimos quadrados (linear nos parâmetros). Decomposição QR. Interpolação numérica: polinomial (fenômeno de Runge) e por partes (splines). Integração de Romberg. Quadratura Gaussiana. Análise de erro. Equações diferenciais ordinárias: problema do valor inicial, Métodos baseados em expansão de Taylor, Método de Runge-Kutta. Análise de convergência, estabilidade e consistência."
NHT4001-15,Análise Química Instrumental,6,"Técnicas espectroscópicas: emissão, absorção e fluorescência atômica, absorção e fluorescência molecular. Análise por injeção em fluxo. Espectrometria de massas: principais espectrômetros de massas e as respectivas técnicas de ionização. Técnicas hifenadas."
MCTB005-13,Análise Real I,4,"Números reais: propriedades e completeza. Topologia da Reta: conjuntos abertos e fechados, pontos de acumulação, conjuntos compactos e conjunto de cantor. Limite de funções reais. Funções contínuas: funções contínuas em conjuntos compactos e continuidade uniforme. Funções deriváveis: definição de derivada, derivada e crescimento local, funções deriváveis num intervalo, fórmula de Taylor, aplicações da derivada, concavidade e convexidade."
MCTB006-13,Análise Real II,4,"Integral de Riemann: definição, propriedades da integral, condições suficientes de integrabilidade. Integral de Riemann-Stieltjes. Teoremas clássicos do Cálculo Integral (Teorema Fundamental do Cálculo) e integrais impróprias. Sequências e séries de funções: convergência simples e convergência uniforme, propriedades da convergência uniforme, séries de potências e séries de Taylor."
ESZP045-13,Análise Social da Família e Implementação de Políticas Públicas,4,"Conceito de família; dinâmica familiar; as várias constituições familiares; laços de parentesco e relações sociais; famílias de camadas populares, camadas médias e classes abastadas; a idéia de casamento; direitos e deveres do casal; ascendência, regras de descendência e filiação; reprodução biológica e social; relações e papéis de gênero; divisão sexual do trabalho; hierarquia de gênero; programas sociais para famílias; políticas públicas de atenção à família: programa de saúde da família; programas de complementação de renda; programas de saúde da mulher; programas de combate à violência doméstica; programas de geração de emprego e renda; programas de educação; formulação de indicadores de acompanhamentos de políticas públicas para a família."
MCTB007-17,Anéis e Corpos,4,"Definição de anel e exemplos. Domínios de integridade e corpos. Subanéis. Homomorfismos e Isomorfismos. Ideais e anéis quociente. Anel dos polinômios, Algoritmo da Divisão e Critérios de irredutibilidade. Anéis euclidianos. Anéis principais. Anéis fatoriais."
NHZ2001-11,Antropologia Filosófica,4,"Introdução aos estudos da antropologia filosófica, leitura e debate de textosfilosóficos, sobretudo de fontes primárias, que apresentem de forma explícita ouvelada determinada concepção de ser humano. Em função da característica dinâmicado tema, a bibliografia poderá ser completada pelo professor responsável."
ESZS012-17,Aplicações de Elementos Finitos para Engenharia,4,"Princípio dos trabalhos virtuais. Derivação das equações fundamentais do método dos elementos finitos. Elementos unidimensionais. Elementos bi e tridimensionais. Condições de contorno e de carregamento. Formulação isoparamétrica. Análise de convergência. Aplicações: análise estrutural, análise harmônica e problemas de transferência de calor. Modelagem e solução em computador de problemas."
ESZI025-17,Aplicações de Microcontroladores,4,Principais famílias de microcontroladores. Utilização de linguagem de alto nível (linguagem C) e linguagem de baixo nível (assembly) na computação em tempo real. Aplicações de instrumentação microprocessada.
ESZI037-17,"Aplicações em Voz, Áudio e Acústica",4,Princípios de Acústica Digital; Normas de Medições Acústicas; Acústica de Ambientes; Modelagem das funções auditivas; Análise e Síntese de Sinais Musicais; Eletroacústica; Engenharia de Áudio.
MCZA002-17,Aprendizado de Máquina,4,Introdução. Tipos de aprendizado. Paradigmas de aprendizado. Avaliação experimental de algoritmos de Aprendizado de Máquina. Alguns algoritmos de Aprendizado de Máquina.
ESZE102-17,Aproveitamento Energético de Resíduos,4,"Resíduos agrícolas, industriais, florestais e urbanos - definições. Legislação associada. Gerenciamento e destinação final. Caracterização e preparo da matéria prima. Avaliação do potencial energético. Métodos de aproveitamento energético: processos bioquímicos e processos termoquímicos. Externalidades do uso energético."
NHZ2091-16,Argumentação e Ensino,4,"Nos dispositivos legais que orientam a Educação Básica brasileira, atribui-se à argumentação um papel central no ensino e, especificamente, no ensino filosófico. Propõe-se nessa disciplina apresentar conceitos-chave de lógica informal, expor criticamente modelos argumentativos usualmente trabalhados na Educação Básica e discutir algumas estratégias didáticas que utilizam a argumentação como cerne (como campeonatos de debates e jogos lógicos)."
ESZE097-17,Armazenamento de Energia Elétrica,4,Introdução aos sistemas EES (Electrical Energy Storage). Tipos de sistemas. Aplicações dos sistemas EES. Maturidade técnica dos sistemas EES. Armazenamento de energia térmica. Tipos de acumuladores de energia térmica. Materiais de troca de fase. Piscinas solares (solar ponds). Armazenamento de energia em ar comprimido (CAES). Tipos e funcionamento dos sistemas CAES. Usinas hidrelétricas reversíveis (Pumped Hydro Storage – PHS). Funcionamento de uma usina PHS. Tipos de usinas PHS. Volantes de inercia (flywheels). Funcionamento de um flywheel. Tipos de flywheel. Pilhas e baterias eletroquímicas. Parâmetros de uma bateria eletroquímica. Baterias de fluxo. Células a combustível. Tipos de células a combustível. Sistemas SMES (Superconducting Magnetic Energy Storage). Materiais supercondutores. Configuração básica de um SMES. Capacitores. Capacitores eletrostáticos. Capacitores eletrolíticos. Capacitores eletroquímicos (ECs).
MCTA004-17,Arquitetura de Computadores,4,"História e Evolução dos Computadores e Sistemas; Estrutura de Computadores Digitais; Lógica Digital Binária; Processamento; Instruções e linguagem de máquina; Microprocessadores modernos: pipeline, super-escalar, RISC; Memórias cache e gerenciamento de memórias; Arquitetura de computadores pessoais; Arquitetura de Computadores Paralelos; Sistemas Computacionais: desempenho e confiabilidade."
MCZA003-17,Arquitetura de Computadores de Alto Desempenho,4,Introdução à computação de alto desempenho. Características sistêmicas da computação de alto desempenho. Organização de hardware em computação paralela. Organização e topologias de Interconexões. Organização da memória. Organização dos sistemas operacionais. Aspectos de programação paralela. Avaliação de desempenho.
ESHT001-17,Arranjos Institucionais e Marco Regulatório do Território,2,"Conceitos de território e ordenamento territorial a luz do marco institucional brasileiro. A relação Estado-território numa perspectiva histórica: aspectos da construção do Estado e Nação Brasileira; conflitos sociais e territoriais presentes nesse processo de construção, relações estado, economia e regulação do território. As relações entre o projeto nacional e o planejamento territorial, o marco regulatório atual tendo em vista os novos recortes territoriais constituídos pelas problemáticas social, ambiental e econômica e as perspectivas de processos de reestruturação / reordenação territorial."
NHZ2092-16,Arte e Ensino,4,"Trata-se de construir uma reflexão sobre as contribuições que as diferentes linguagens artísticas podem oferecer ao ensino de modo geral. Para tanto, serão feitas leituras de obras de arte visando ao processo de ensino-aprendizagem. Também se buscará um aprofundamento das noções de imaginação, criatividade e sensibilidade, relacionando-as ao conhecimento em áreas distintas. Inclui-se ainda como horizonte da disciplina o conhecimento de experiências didáticas que articulem arte e educação, bem como a criação de material didático."
ESZP011-13,"Arte, Ciência, Tecnologia e Política",4,"Concepções de relações entre arte, ciência e tecnologia no contexto contemporâneo; ligação entre estética e política; novas tecnologias de informação e comunicação; cultura política virtual, musical, visual e audiovisual; convergência de linguagens, cultura digital, hibridismos, percepções e realidades mistas; politicas, éticas e estéticas tecnológicas; simulacros, simulações, mídias e política; estudos de performance e política; corpo, política, arte, ciência e tecnologias; transformações cognitivas, relações de poder, estratégias de controle e políticas públicas."
NHZ1074-15,Astrobiologia,4,Abordar os princípios das condições estelares e planetárias favoráveis para (1) surgimento de moléculas orgânicas complexas e (2) origem e evolução de seres vivos. Desenvolver o conceito do condicionamento da origem e evolução da vida terrestre por eventos no sistema solar e na Via Láctea e aplicar o conceito na avaliação da possibilidade da vida nos outros sistemas planetários.
MCZC010-15,Atenção e Estados de Consciência,4,"Princípios; Métodos de estudo em humanos e animais; Vigilância, alerta e sonolência; Atenção espacial e temporal; Atenção voluntária e automática; Atenção aberta e atenção encoberta; Estágios do sono; Sonho; Estados de consciência alterada; Mecanismos biológicos na regulação do sono; Circuitos neurais atencionais; Marcadores eletroencefalográficos e psicofisiológicos de estados de consciência."
BHS0004-17,Atividades da Teoria,4,"Através da exploração de novos métodos pedagógicos, que busquem além das formas tradicionais de transmissão de conhecimento, o professor vai desenvolver temas e problemas em ciências e humanidades de forma prática, envolvendo atividade de campo.Recomendação: Que o programa seja disponibilizado antes da matrícula. E que as turmas tenham, no máximo, 30 alunos."
ESZP035-14,Atores e Instituições no Regime Militar: 1964-1985,4,"A disciplina propõe uma visita às instituições políticas do regime militar e seus principais atores políticos. Para isto, mobilizaremos argumentos da ciência política e história, bem como do jornalismo que retrata a época. A principal ideia é contextualizar decisões políticas tomadas entre 1964 e 1985, com o intuito de colocar atores, partidos políticos e instituições em seu devido lugar histórico, sem paixões. Pontos: i) Militares e política no Brasil do século XX; ii) O golpe contra João Goulart; iii) O governo Castello Branco; iv) AI-5 e 1969; v) Um Legislativo submisso?; vi) Os militares e a Arena; vii) Médici e a polícia política; viii) Geisel e o início da abertura; ix) O ocaso com Figueiredo"
ESZE010-17,Automação de Sistemas Elétricos de Potência,3,Sistemas digitais para automação; Dispositivos eletrônicos inteligentes - IED; Automação de subestações; Automação de Usinas; Automação da distribuição; Redes Inteligentes - Smart Grid.
ESTA011-17,Automação de Sistemas Industriais,4,"Os desafios da automação industrial moderna, Classificação de sistemas industriais em função à capacidade de produção, Operações, modelos e métricas da produção, Elementos básicos e funções avançadas de automação, Níveis de automação, Controle de processos por computador e Controladores Lógicos programáveis, Programação e integração de Sistemas Industriais (norma IEC 61131). Modelagem e simulação de Processos Industriais integrados mediante PLC, Avaliação de eficiência energética em projetos de automação industrial (norma ISO 50001), Projeto de sistemas motrizes eficientes em processos industriais. Planejamento e controle da produção, O problema de escalonamento em sistemas de manufatura. Modelagem, simulação e otimização de sistemas de escalonamento da produção."
ESZG028-17,Automação em Sistemas de Manufatura,4,Visão integrada da automação industrial e sistemas de produção; integração de sistemas de produção (CIM): organização e funcionamento; níveis de integração; ferramentas de modelagem e análise; controladores de processos industriais (PAC); redes: o suporte para a comunicação no ambiente CIM.
MCZA004-13,Avaliação de Desempenho de Redes,4,"Motivação para avaliação de desempenho. Técnicas de avaliação: Modelagem analítica, simulação e medição. Metodologia de Avaliação de Desempenho. Métricas de desempenho. Geração de números aleatórios. Projeto de experimentos. Teoria das filas: aplicações e limitações. Simulação: tipos, técnicas e limitações. Aspectos de medição: tipos, técnicas e ferramentas. Avaliação de desempenho da Internet. Apresentação de resultados."
ESTU025-17,Avaliação de Impactos Ambientais,4,"Histórico e bases legais do licenciamento ambiental, tipos de licenciamento ambiental segundo características dos empreendimentos. Elementos e estudos para formulação de Estudos de Impacto Ambiental (EIA), Relatório de Impacto Ambiental (RIMA) e RAP – Relatório Ambiental Preliminar. Procedimentos e métodos para avaliação dos impactos ambientais. Conceitos envolvidos na identificação e formulação de medidas mitigadoras e compensatórias. Gestão dos empreendimentos licenciados. Termo de Ajustamento de Conduta (TAC) e medidas punitivas por descumprimento da legislação ambiental. Limites e desafios do processo de licenciamento ambiental."
ESHP031-14,Avaliação e Monitoramento de Políticas Públicas,4,"Conceitos: monitoramento, avaliação, formulação, ciclo de políticas públicas, impacto, eficiência-eficácia-efetividade. Metodologias de monitoramento e avaliação: visão geral, focos de análise (objetivos, administração, consumidores, especialistas, participantes). Instrumentos e ferramentas de avaliação: marco lógico, árvore de problemas, etc. Indicadores e políticas públicas. Análise custo-benefício; Análise de impacto. Visão geral sobre análise de impacto regulatório. O contexto e as implicações políticas da avaliação."
NHT4072-15,Avaliação no Ensino de Química,3,"Reflexões sobre a avaliação: o quê, como e por que avaliar. Avaliação formativa, diagnóstica e seletiva. Explorar diferentes formas e tipos de avaliação e a sua integração ao planejamento do curso. Planejar uma avaliação e refletir sobre o processo de sua construção."
ESZS004-17,Aviônica,4,"Introdução sistemas aviônicos, bus ARINCs e MIL1553; Introdução à navegação, rádio navegação e trajetórias de vôo; Espectro Eletromagnético; Princípios propagação, princípios de radares; Conceitos de eletrônica digital/analógica, microprocessadores, software embarcado, mostradores, displays; Sensores usados em aeronáutica; Sistemas comunicação aeronáutica."
MCTA037-17,Banco de Dados,4,"Conceitos Básicos: Arquitetura de um Sistema de Banco de Dados, Modelos de Dados, Linguagens de Definição e Manipulação de Dados, Usuário de Banco de Dados. Modelagem de Dados. Modelos de Dados: Relacional, Hierárquicos e deRedes. Projeto de Banco de Dados Relacional: Dependência Funcional, Chaves, Normalização, Álgebra Relacional e SQL."
MCZA005-17,Banco de Dados de Apoio à Tomada de Decisão,4,Data Warehouse. Descoberta de Conhecimento de Bases deDados. DW e Business Intelligence.
BCS0001-15,Base Experimental das Ciências Naturais,3,"Experimentos selecionados que abrangem áreas diversas, como física, química e biologia. Desenvolvimento de um projeto final, de caráter científico, cujo tema é escolhido pelos alunos. O método científico. Escrita científica. Apresentação de trabalho em simpósio."
ESTB002-17,Bases Biológicas para Engenharia I,5,"Introdução à anatomia e fisiopatologia humana; inflamação e resposta imunológica; introdução às principais técnicas de diagnóstico e terapia. Sistema cardiovascular: anatomia, fisiologia, fisiopatologia. Técnicas de monitorização, diagnóstico e terapêutica aplicados ao sistema cardiovascular. Sistema respiratório: anatomia, fisiologia, fisiopatologia. Técnicas de monitorização, diagnóstico e terapêutica aplicados ao sistema respiratório. Sistema endócrino: Fisiopatologia da diabetes, Técnicas de monitorização, diagnóstico e terapêutica aplicados à diabetes e às outras doenças comuns do sistema endócrino."
ESTB004-17,Bases Biológicas para Engenharia II,5,"Sistema digestório: anatomia, fisiologia, fisiopatologia. Técnicas de monitorização, diagnóstico e terapêutica aplicados ao sistema digestório. Sistema reprodutor: fisiopatologia e técnicas de monitorização, diagnóstico e terapêutica aplicados ao sistema reprodutor. Sistema renal: anatomia, fisiologia, fisiopatologia. Técnicas de monitorização, diagnóstico e terapêutica aplicados ao sistema renal. Sistema neuro-muscular: anatomia, fisiologia, fisiopatologia. Técnicas de monitorização, diagnóstico e terapêutica aplicados ao sistema neuro-muscular. Ergonomia; fisiologia do exercício e introdução à biomecânica."
BIS0005-15,Bases Computacionais da Ciência,2,"Fundamentos da computação; Representação gráfica de funções; Noções de estatística, correlação e regressão; Base de dados; Lógica de programação: Variáveis e estruturas sequenciais; Lógica de programação: Estruturas condicionais; Lógica de programação: Estruturas de repetição; Modelagem e simulação computacional: Conceitos fundamentais; Modelagem e simulação computacional: A ciência na prática."
